lon	lat	clay	silt	sand	orgC	CN	pH	cellfraction
-179.75	71.25	0.080	0.370	0.550	0.020	11.000	5.900	0.482
-179.75	68.75	0.200	0.480	0.320	0.031	17.000	6.300	0.753
-179.75	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.447
-179.75	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.526
-179.75	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.422
-179.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.447
-179.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.376
-179.25	71.25	0.080	0.370	0.550	0.020	11.000	5.900	0.400
-179.25	68.75	0.200	0.480	0.320	0.031	17.000	6.300	0.799
-179.25	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.500
-179.25	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.487
-179.25	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.473
-179.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.447
-179.25	66.25	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-178.75	71.25	0.200	0.480	0.320	0.031	17.000	6.300	0.453
-178.75	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.735
-178.75	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.512
-178.75	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.774
-178.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.369
-178.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.385
-178.25	71.25	0.200	0.480	0.320	0.031	17.000	6.300	0.540
-178.25	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.712
-178.25	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.583
-178.25	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.484
-178.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.356
-178.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.539
-178.25	65.75	0.400	0.350	0.250	0.384	15.000	5.900	0.558
-177.75	71.25	0.200	0.480	0.320	0.031	17.000	6.300	0.700
-177.75	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.773
-177.75	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.618
-177.75	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.653
-177.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.435
-177.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.408
-177.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.568
-177.25	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.563
-177.25	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.682
-177.25	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.761
-177.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.553
-177.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.422
-177.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.647
-176.75	67.75	0.400	0.350	0.250	0.384	15.000	5.900	0.548
-176.75	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.800
-176.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.577
-176.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.735
-176.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.549
-176.25	67.75	0.400	0.350	0.250	0.384	15.000	5.900	1.000
-176.25	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.733
-176.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.473
-176.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.383
-176.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.788
-175.75	67.75	0.400	0.350	0.250	0.384	15.000	5.900	1.000
-175.75	67.25	0.200	0.480	0.320	0.031	17.000	6.300	0.480
-175.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.553
-175.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.447
-175.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.722
-175.75	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.616
-175.25	67.25	0.400	0.350	0.250	0.384	15.000	5.900	0.909
-175.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.501
-175.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.670
-175.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.422
-175.25	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.435
-175.25	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-174.75	66.75	0.400	0.350	0.250	0.384	15.000	5.900	0.928
-174.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.578
-174.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.539
-174.75	65.25	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-174.75	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.339
-174.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.770
-174.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.800
-174.25	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.539
-174.25	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-173.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.800
-173.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.774
-173.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.788
-173.75	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.553
-173.75	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-173.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.799
-173.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.673
-173.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.630
-173.25	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.512
-173.25	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.339
-173.25	64.25	0.270	0.300	0.430	0.014	11.000	7.600	0.340
-172.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.787
-172.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.612
-172.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.715
-172.75	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.667
-172.75	64.75	0.200	0.480	0.320	0.031	17.000	6.300	0.475
-172.25	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.721
-172.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.547
-172.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.611
-172.25	65.25	0.200	0.480	0.320	0.031	17.000	6.300	0.801
-171.75	66.75	0.200	0.480	0.320	0.031	17.000	6.300	0.687
-171.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.685
-171.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.520
-171.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.612
-171.25	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.726
-170.75	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.775
-170.75	65.75	0.200	0.480	0.320	0.031	17.000	6.300	0.787
-170.25	66.25	0.200	0.480	0.320	0.031	17.000	6.300	0.802
-169.75	63.25	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-168.25	53.25	0.090	0.320	0.590	0.031	11.000	5.900	0.500
-167.75	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.601
-167.25	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-166.75	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.592
-166.75	65.25	0.320	0.300	0.380	0.014	11.000	4.900	0.501
-166.75	60.25	0.320	0.300	0.380	0.014	11.000	4.900	0.499
-166.75	53.75	0.270	0.300	0.430	0.014	11.000	7.600	0.339
-166.25	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.581
-166.25	65.25	0.320	0.300	0.380	0.014	11.000	4.900	0.501
-166.25	64.75	0.320	0.300	0.380	0.014	11.000	4.900	0.495
-166.25	60.25	0.320	0.300	0.380	0.014	11.000	4.900	0.501
-165.75	68.75	0.200	0.480	0.320	0.031	17.000	6.300	0.501
-165.75	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.501
-165.75	66.25	0.320	0.300	0.380	0.014	11.000	4.900	0.599
-165.75	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.573
-165.75	65.25	0.320	0.300	0.380	0.014	11.000	4.900	0.501
-165.75	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.295
-165.75	61.75	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-165.75	61.25	0.320	0.300	0.380	0.014	11.000	4.900	0.601
-165.75	60.25	0.320	0.300	0.380	0.014	11.000	4.900	0.500
-165.25	68.75	0.200	0.480	0.320	0.031	17.000	6.300	0.501
-165.25	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.500
-165.25	66.25	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-165.25	65.75	0.320	0.300	0.380	0.014	11.000	4.900	0.570
-165.25	65.25	0.320	0.300	0.380	0.014	11.000	4.900	0.501
-165.25	64.75	0.270	0.300	0.430	0.014	11.000	7.600	0.296
-165.25	62.25	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-165.25	61.75	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-165.25	61.25	0.320	0.300	0.380	0.014	11.000	4.900	0.600
-164.75	68.75	0.200	0.480	0.320	0.031	17.000	6.300	0.500
-164.75	68.25	0.200	0.480	0.320	0.031	17.000	6.300	0.500
-164.75	67.75	0.200	0.480	0.320	0.031	17.000	6.300	0.500
